idx,is_inclusive,premise,question,label
67,0,Either Aaron is not direct or Archer is not earnest. Aaron is not direct.,Archer is earnest,1
68,0,Either Aaron is not direct or Archer is not earnest. Aaron is not direct.,Archer is not earnest,0
69,2,Neither Linnie is not childlike nor Kason is not passionate. Linnie is childlike.,Linnie is childlike,1
70,2,Neither Linnie is not childlike nor Kason is not passionate. Linnie is childlike.,Linnie is not childlike,0
71,2,Neither Linnie is not childlike nor Kason is not passionate. Linnie is childlike.,Kason is passionate,1
72,2,Neither Linnie is not childlike nor Kason is not passionate. Linnie is childlike.,Kason is not passionate,0
73,0,Either Dominik is not smart or Willie is cowardly. Willie is cowardly.,Dominik is smart,1
74,0,Either Dominik is not smart or Willie is cowardly. Willie is cowardly.,Dominik is not smart,0
75,0,Either Dominik is not smart or Willie is cowardly. Willie is cowardly.,Willie is cowardly,1
76,0,Either Dominik is not smart or Willie is cowardly. Willie is cowardly.,Willie is not cowardly,0
77,2,Neither Sandy is not ugly nor Minta is soulful. Minta is not soulful.,Sandy is ugly,0
78,2,Neither Sandy is not ugly nor Minta is soulful. Minta is not soulful.,Sandy is not ugly,1
79,2,Neither Sandy is not ugly nor Minta is soulful. Minta is not soulful.,Minta is soulful,1
80,2,Neither Sandy is not ugly nor Minta is soulful. Minta is not soulful.,Minta is not soulful,0
81,0,Either Catherine is not callous or Vernell is cold. Vernell is not cold.,Catherine is callous,0
82,0,Either Catherine is not callous or Vernell is cold. Vernell is not cold.,Catherine is not callous,1
83,0,Either Catherine is not callous or Vernell is cold. Vernell is not cold.,Vernell is cold,0
84,0,Either Catherine is not callous or Vernell is cold. Vernell is not cold.,Vernell is not cold,1
85,0,Either Hannah is agile or Dulcie is not cynical. Dulcie is not cynical.,Hannah is agile,0
86,0,Either Hannah is agile or Dulcie is not cynical. Dulcie is not cynical.,Hannah is not agile,1
87,0,Either Hannah is agile or Dulcie is not cynical. Dulcie is not cynical.,Dulcie is cynical,0
88,0,Either Hannah is agile or Dulcie is not cynical. Dulcie is not cynical.,Dulcie is not cynical,1
89,1,Clem is cheerful or Jeanetta is quiet. Clem is cheerful.,Clem is cheerful,1
90,1,Clem is cheerful or Jeanetta is quiet. Clem is cheerful.,Clem is not cheerful,0
91,1,Clem is cheerful or Jeanetta is quiet. Clem is cheerful.,Jeanetta is quiet,1
92,1,Clem is cheerful or Jeanetta is quiet. Clem is cheerful.,Jeanetta is not quiet,1
93,2,Neither Vennie is not grouchy nor Leonardo is thinking. Leonardo is not thinking.,Vennie is grouchy,0
94,2,Neither Vennie is not grouchy nor Leonardo is thinking. Leonardo is not thinking.,Vennie is not grouchy,1
95,2,Neither Vennie is not grouchy nor Leonardo is thinking. Leonardo is not thinking.,Leonardo is thinking,1
96,2,Neither Vennie is not grouchy nor Leonardo is thinking. Leonardo is not thinking.,Leonardo is not thinking,0
97,1,Noreen is reliable or Elias is not tactful. Elias is not tactful.,Noreen is reliable,1
98,1,Noreen is reliable or Elias is not tactful. Elias is not tactful.,Noreen is not reliable,1
99,1,Noreen is reliable or Elias is not tactful. Elias is not tactful.,Elias is tactful,0
100,1,Noreen is reliable or Elias is not tactful. Elias is not tactful.,Elias is not tactful,1
101,2,Neither Ethyl is orderly nor Quentin is not grouchy. Quentin is grouchy.,Ethyl is orderly,0
102,2,Neither Ethyl is orderly nor Quentin is not grouchy. Quentin is grouchy.,Ethyl is not orderly,1
103,2,Neither Ethyl is orderly nor Quentin is not grouchy. Quentin is grouchy.,Quentin is grouchy,1
104,2,Neither Ethyl is orderly nor Quentin is not grouchy. Quentin is grouchy.,Quentin is not grouchy,0
105,1,Reva is not obnoxious or Bryant is callous. Reva is obnoxious.,Reva is obnoxious,1
106,1,Reva is not obnoxious or Bryant is callous. Reva is obnoxious.,Reva is not obnoxious,0
107,1,Reva is not obnoxious or Bryant is callous. Reva is obnoxious.,Bryant is callous,1
108,1,Reva is not obnoxious or Bryant is callous. Reva is obnoxious.,Bryant is not callous,0
109,2,Neither Delores is not outgoing nor Elden is emotional. Elden is not emotional.,Delores is outgoing,0
110,2,Neither Delores is not outgoing nor Elden is emotional. Elden is not emotional.,Delores is not outgoing,1
111,2,Neither Delores is not outgoing nor Elden is emotional. Elden is not emotional.,Elden is emotional,1
112,2,Neither Delores is not outgoing nor Elden is emotional. Elden is not emotional.,Elden is not emotional,0
113,2,Neither Audrey is sulky nor Elias is not negative. Elias is negative.,Audrey is sulky,0
114,2,Neither Audrey is sulky nor Elias is not negative. Elias is negative.,Audrey is not sulky,1
115,2,Neither Audrey is sulky nor Elias is not negative. Elias is negative.,Elias is negative,1
116,2,Neither Audrey is sulky nor Elias is not negative. Elias is negative.,Elias is not negative,0
117,0,Either Verona is not respectful or Felipe is not thoughtful. Verona is respectful.,Verona is respectful,1
118,0,Either Verona is not respectful or Felipe is not thoughtful. Verona is respectful.,Verona is not respectful,0
119,0,Either Verona is not respectful or Felipe is not thoughtful. Verona is respectful.,Felipe is thoughtful,0
120,0,Either Verona is not respectful or Felipe is not thoughtful. Verona is respectful.,Felipe is not thoughtful,1
121,0,Either Jacalyn is not drunk or Scott is dull. Scott is not dull.,Jacalyn is drunk,0
122,0,Either Jacalyn is not drunk or Scott is dull. Scott is not dull.,Jacalyn is not drunk,1
123,0,Either Jacalyn is not drunk or Scott is dull. Scott is not dull.,Scott is dull,0
124,0,Either Jacalyn is not drunk or Scott is dull. Scott is not dull.,Scott is not dull,1
125,0,Either Marcus is striking or Rolland is not shy. Marcus is striking.,Marcus is striking,1
126,0,Either Marcus is striking or Rolland is not shy. Marcus is striking.,Marcus is not striking,0
127,0,Either Marcus is striking or Rolland is not shy. Marcus is striking.,Rolland is shy,1
128,0,Either Marcus is striking or Rolland is not shy. Marcus is striking.,Rolland is not shy,0
129,0,Either Cody is kind or Winfield is not powerful. Cody is not kind.,Cody is kind,0
130,0,Either Cody is kind or Winfield is not powerful. Cody is not kind.,Cody is not kind,1
131,0,Either Cody is kind or Winfield is not powerful. Cody is not kind.,Winfield is powerful,0
132,0,Either Cody is kind or Winfield is not powerful. Cody is not kind.,Winfield is not powerful,1
133,2,Neither Earnestine is churlish nor Dominick is reserved. Earnestine is not churlish.,Earnestine is churlish,0
134,2,Neither Earnestine is churlish nor Dominick is reserved. Earnestine is not churlish.,Earnestine is not churlish,1
135,2,Neither Earnestine is churlish nor Dominick is reserved. Earnestine is not churlish.,Dominick is reserved,0
136,2,Neither Earnestine is churlish nor Dominick is reserved. Earnestine is not churlish.,Dominick is not reserved,1
137,1,Zane is popular or Raphael is silly. Raphael is silly.,Zane is popular,1
138,1,Zane is popular or Raphael is silly. Raphael is silly.,Zane is not popular,1
139,1,Zane is popular or Raphael is silly. Raphael is silly.,Raphael is silly,1
140,1,Zane is popular or Raphael is silly. Raphael is silly.,Raphael is not silly,0
141,0,Either Roscoe is ambitious or Porter is not jovial. Porter is not jovial.,Roscoe is ambitious,0
142,0,Either Roscoe is ambitious or Porter is not jovial. Porter is not jovial.,Roscoe is not ambitious,1
143,0,Either Roscoe is ambitious or Porter is not jovial. Porter is not jovial.,Porter is jovial,0
144,0,Either Roscoe is ambitious or Porter is not jovial. Porter is not jovial.,Porter is not jovial,1
145,0,Either Quinton is not amazing or Syble is buff. Syble is buff.,Quinton is amazing,1
146,0,Either Quinton is not amazing or Syble is buff. Syble is buff.,Quinton is not amazing,0
147,0,Either Quinton is not amazing or Syble is buff. Syble is buff.,Syble is buff,1
148,0,Either Quinton is not amazing or Syble is buff. Syble is buff.,Syble is not buff,0
149,1,Lu is naive or Steve is not listless. Steve is listless.,Lu is naive,1
150,1,Lu is naive or Steve is not listless. Steve is listless.,Lu is not naive,0
151,1,Lu is naive or Steve is not listless. Steve is listless.,Steve is listless,1
152,1,Lu is naive or Steve is not listless. Steve is listless.,Steve is not listless,0
153,2,Neither Isobel is distraught nor Emilio is fiery. Emilio is not fiery.,Isobel is distraught,0
154,2,Neither Isobel is distraught nor Emilio is fiery. Emilio is not fiery.,Isobel is not distraught,1
155,2,Neither Isobel is distraught nor Emilio is fiery. Emilio is not fiery.,Emilio is fiery,0
156,2,Neither Isobel is distraught nor Emilio is fiery. Emilio is not fiery.,Emilio is not fiery,1
157,1,Kathryn is sober or Floy is not awful. Floy is not awful.,Kathryn is sober,1
158,1,Kathryn is sober or Floy is not awful. Floy is not awful.,Kathryn is not sober,1
159,1,Kathryn is sober or Floy is not awful. Floy is not awful.,Floy is awful,0
160,1,Kathryn is sober or Floy is not awful. Floy is not awful.,Floy is not awful,1
161,1,Curtis is not dextrous or Von is willing. Von is willing.,Curtis is dextrous,1
162,1,Curtis is not dextrous or Von is willing. Von is willing.,Curtis is not dextrous,1
163,1,Curtis is not dextrous or Von is willing. Von is willing.,Von is willing,1
164,1,Curtis is not dextrous or Von is willing. Von is willing.,Von is not willing,0
165,2,Neither Dominick is not leery nor Lyle is paternal. Lyle is not paternal.,Dominick is leery,0
166,2,Neither Dominick is not leery nor Lyle is paternal. Lyle is not paternal.,Dominick is not leery,1
167,2,Neither Dominick is not leery nor Lyle is paternal. Lyle is not paternal.,Lyle is paternal,1
168,2,Neither Dominick is not leery nor Lyle is paternal. Lyle is not paternal.,Lyle is not paternal,0
169,1,Austin is amiable or Casey is practical. Austin is not amiable.,Austin is amiable,0
170,1,Austin is amiable or Casey is practical. Austin is not amiable.,Austin is not amiable,1
171,1,Austin is amiable or Casey is practical. Austin is not amiable.,Casey is practical,1
172,1,Austin is amiable or Casey is practical. Austin is not amiable.,Casey is not practical,0
173,2,Neither Cal is not punctual nor Stewart is not mercurial. Stewart is mercurial.,Cal is punctual,1
174,2,Neither Cal is not punctual nor Stewart is not mercurial. Stewart is mercurial.,Cal is not punctual,0
175,2,Neither Cal is not punctual nor Stewart is not mercurial. Stewart is mercurial.,Stewart is mercurial,1
176,2,Neither Cal is not punctual nor Stewart is not mercurial. Stewart is mercurial.,Stewart is not mercurial,0
177,1,Domingo is not irritating or Grace is not pensive. Domingo is not irritating.,Domingo is irritating,0
178,1,Domingo is not irritating or Grace is not pensive. Domingo is not irritating.,Domingo is not irritating,1
179,1,Domingo is not irritating or Grace is not pensive. Domingo is not irritating.,Grace is pensive,1
180,1,Domingo is not irritating or Grace is not pensive. Domingo is not irritating.,Grace is not pensive,1
181,0,Either Mallie is hot-headed or Opal is willing. Mallie is not hot-headed.,Mallie is hot-headed,0
182,0,Either Mallie is hot-headed or Opal is willing. Mallie is not hot-headed.,Mallie is not hot-headed,1
183,0,Either Mallie is hot-headed or Opal is willing. Mallie is not hot-headed.,Opal is willing,1
184,0,Either Mallie is hot-headed or Opal is willing. Mallie is not hot-headed.,Opal is not willing,0
185,0,Either Hugh is not brilliant or Eunice is paternal. Hugh is not brilliant.,Hugh is brilliant,0
186,0,Either Hugh is not brilliant or Eunice is paternal. Hugh is not brilliant.,Hugh is not brilliant,1
187,0,Either Hugh is not brilliant or Eunice is paternal. Hugh is not brilliant.,Eunice is paternal,0
188,0,Either Hugh is not brilliant or Eunice is paternal. Hugh is not brilliant.,Eunice is not paternal,1
189,1,Consuelo is tranquil or Price is abnormal. Price is abnormal.,Consuelo is tranquil,1
190,1,Consuelo is tranquil or Price is abnormal. Price is abnormal.,Consuelo is not tranquil,1
191,1,Consuelo is tranquil or Price is abnormal. Price is abnormal.,Price is abnormal,1
192,1,Consuelo is tranquil or Price is abnormal. Price is abnormal.,Price is not abnormal,0
193,1,Corey is not buff or Brandon is not callous. Corey is buff.,Corey is buff,1
194,1,Corey is not buff or Brandon is not callous. Corey is buff.,Corey is not buff,0
195,1,Corey is not buff or Brandon is not callous. Corey is buff.,Brandon is callous,0
196,1,Corey is not buff or Brandon is not callous. Corey is buff.,Brandon is not callous,1
197,0,Either Warren is shy or Henrietta is not composed. Warren is not shy.,Warren is shy,0
198,0,Either Warren is shy or Henrietta is not composed. Warren is not shy.,Warren is not shy,1
199,0,Either Warren is shy or Henrietta is not composed. Warren is not shy.,Henrietta is composed,0
200,0,Either Warren is shy or Henrietta is not composed. Warren is not shy.,Henrietta is not composed,1
201,0,Either Forrest is noisy or Rosalind is not numb. Forrest is noisy.,Forrest is noisy,1
202,0,Either Forrest is noisy or Rosalind is not numb. Forrest is noisy.,Forrest is not noisy,0
203,0,Either Forrest is noisy or Rosalind is not numb. Forrest is noisy.,Rosalind is numb,1
204,0,Either Forrest is noisy or Rosalind is not numb. Forrest is noisy.,Rosalind is not numb,0
205,2,Neither Alva is not inspiring nor Kevin is lovable. Kevin is not lovable.,Alva is inspiring,0
206,2,Neither Alva is not inspiring nor Kevin is lovable. Kevin is not lovable.,Alva is not inspiring,1
207,2,Neither Alva is not inspiring nor Kevin is lovable. Kevin is not lovable.,Kevin is lovable,1
208,2,Neither Alva is not inspiring nor Kevin is lovable. Kevin is not lovable.,Kevin is not lovable,0
209,1,Corine is irritable or Tommie is gluttonous. Tommie is not gluttonous.,Corine is irritable,1
210,1,Corine is irritable or Tommie is gluttonous. Tommie is not gluttonous.,Corine is not irritable,0
211,1,Corine is irritable or Tommie is gluttonous. Tommie is not gluttonous.,Tommie is gluttonous,0
212,1,Corine is irritable or Tommie is gluttonous. Tommie is not gluttonous.,Tommie is not gluttonous,1
213,0,Either Wilfred is dreary or Brennan is petulant. Brennan is not petulant.,Wilfred is dreary,1
214,0,Either Wilfred is dreary or Brennan is petulant. Brennan is not petulant.,Wilfred is not dreary,0
215,0,Either Wilfred is dreary or Brennan is petulant. Brennan is not petulant.,Brennan is petulant,0
216,0,Either Wilfred is dreary or Brennan is petulant. Brennan is not petulant.,Brennan is not petulant,1
217,0,Either Rosemary is amiable or Jamal is not petulant. Rosemary is amiable.,Rosemary is amiable,1
218,0,Either Rosemary is amiable or Jamal is not petulant. Rosemary is amiable.,Rosemary is not amiable,0
219,0,Either Rosemary is amiable or Jamal is not petulant. Rosemary is amiable.,Jamal is petulant,1
220,0,Either Rosemary is amiable or Jamal is not petulant. Rosemary is amiable.,Jamal is not petulant,0
221,1,Pablo is jocular or Concepcion is numb. Concepcion is not numb.,Pablo is jocular,1
222,1,Pablo is jocular or Concepcion is numb. Concepcion is not numb.,Pablo is not jocular,0
223,1,Pablo is jocular or Concepcion is numb. Concepcion is not numb.,Concepcion is numb,0
224,1,Pablo is jocular or Concepcion is numb. Concepcion is not numb.,Concepcion is not numb,1
225,0,Either Dan is not jocular or Angelina is chic. Dan is not jocular.,Dan is jocular,0
226,0,Either Dan is not jocular or Angelina is chic. Dan is not jocular.,Dan is not jocular,1
227,0,Either Dan is not jocular or Angelina is chic. Dan is not jocular.,Angelina is chic,0
228,0,Either Dan is not jocular or Angelina is chic. Dan is not jocular.,Angelina is not chic,1
229,0,Either Doris is not impressive or Mollie is not hesitant. Mollie is hesitant.,Doris is impressive,0
230,0,Either Doris is not impressive or Mollie is not hesitant. Mollie is hesitant.,Doris is not impressive,1
231,0,Either Doris is not impressive or Mollie is not hesitant. Mollie is hesitant.,Mollie is hesitant,1
232,0,Either Doris is not impressive or Mollie is not hesitant. Mollie is hesitant.,Mollie is not hesitant,0
233,0,Either Denise is shy or Lavada is outgoing. Lavada is outgoing.,Denise is shy,0
234,0,Either Denise is shy or Lavada is outgoing. Lavada is outgoing.,Denise is not shy,1
235,0,Either Denise is shy or Lavada is outgoing. Lavada is outgoing.,Lavada is outgoing,1
236,0,Either Denise is shy or Lavada is outgoing. Lavada is outgoing.,Lavada is not outgoing,0
237,2,Neither Dick is distant nor Lettie is not confident. Lettie is confident.,Dick is distant,0
238,2,Neither Dick is distant nor Lettie is not confident. Lettie is confident.,Dick is not distant,1
239,2,Neither Dick is distant nor Lettie is not confident. Lettie is confident.,Lettie is confident,1
240,2,Neither Dick is distant nor Lettie is not confident. Lettie is confident.,Lettie is not confident,0
241,0,Either Sue is flaky or Janet is not respectful. Janet is respectful.,Sue is flaky,1
242,0,Either Sue is flaky or Janet is not respectful. Janet is respectful.,Sue is not flaky,0
243,0,Either Sue is flaky or Janet is not respectful. Janet is respectful.,Janet is respectful,1
244,0,Either Sue is flaky or Janet is not respectful. Janet is respectful.,Janet is not respectful,0
245,1,Ada is evasive or Rowena is easy-going. Rowena is not easy-going.,Ada is evasive,1
246,1,Ada is evasive or Rowena is easy-going. Rowena is not easy-going.,Ada is not evasive,0
247,1,Ada is evasive or Rowena is easy-going. Rowena is not easy-going.,Rowena is easy-going,0
248,1,Ada is evasive or Rowena is easy-going. Rowena is not easy-going.,Rowena is not easy-going,1
249,2,Neither Bradley is not silly nor Mary is cheerful. Bradley is silly.,Bradley is silly,1
250,2,Neither Bradley is not silly nor Mary is cheerful. Bradley is silly.,Bradley is not silly,0
251,2,Neither Bradley is not silly nor Mary is cheerful. Bradley is silly.,Mary is cheerful,0
252,2,Neither Bradley is not silly nor Mary is cheerful. Bradley is silly.,Mary is not cheerful,0
253,2,Neither Clara is stern nor Myrna is negative. Clara is not stern.,Clara is stern,0
254,2,Neither Clara is stern nor Myrna is negative. Clara is not stern.,Clara is not stern,1
255,2,Neither Clara is stern nor Myrna is negative. Clara is not stern.,Myrna is negative,0
256,2,Neither Clara is stern nor Myrna is negative. Clara is not stern.,Myrna is not negative,1
257,2,Neither Forest is not delightful nor Derrick is abnormal. Forest is delightful.,Forest is delightful,1
258,2,Neither Forest is not delightful nor Derrick is abnormal. Forest is delightful.,Forest is not delightful,0
259,2,Neither Forest is not delightful nor Derrick is abnormal. Forest is delightful.,Derrick is abnormal,0
260,2,Neither Forest is not delightful nor Derrick is abnormal. Forest is delightful.,Derrick is not abnormal,0
261,1,Roland is one-sided or Macie is not joyous. Roland is not one-sided.,Roland is one-sided,0
262,1,Roland is one-sided or Macie is not joyous. Roland is not one-sided.,Roland is not one-sided,1
263,1,Roland is one-sided or Macie is not joyous. Roland is not one-sided.,Macie is joyous,0
264,1,Roland is one-sided or Macie is not joyous. Roland is not one-sided.,Macie is not joyous,1
265,2,Neither Betsy is depressed nor Gladys is delightful. Betsy is not depressed.,Betsy is depressed,0
266,2,Neither Betsy is depressed nor Gladys is delightful. Betsy is not depressed.,Betsy is not depressed,1
267,2,Neither Betsy is depressed nor Gladys is delightful. Betsy is not depressed.,Gladys is delightful,0
268,2,Neither Betsy is depressed nor Gladys is delightful. Betsy is not depressed.,Gladys is not delightful,1
269,1,Zelda is popular or Willian is agreeable. Willian is not agreeable.,Zelda is popular,1
270,1,Zelda is popular or Willian is agreeable. Willian is not agreeable.,Zelda is not popular,0
271,1,Zelda is popular or Willian is agreeable. Willian is not agreeable.,Willian is agreeable,0
272,1,Zelda is popular or Willian is agreeable. Willian is not agreeable.,Willian is not agreeable,1
273,1,Jewell is fastidious or Evangelina is natural. Jewell is not fastidious.,Jewell is fastidious,0
274,1,Jewell is fastidious or Evangelina is natural. Jewell is not fastidious.,Jewell is not fastidious,1
275,1,Jewell is fastidious or Evangelina is natural. Jewell is not fastidious.,Evangelina is natural,1
276,1,Jewell is fastidious or Evangelina is natural. Jewell is not fastidious.,Evangelina is not natural,0
277,1,Dashawn is not touchy or Clifford is alert. Clifford is not alert.,Dashawn is touchy,0
278,1,Dashawn is not touchy or Clifford is alert. Clifford is not alert.,Dashawn is not touchy,1
279,1,Dashawn is not touchy or Clifford is alert. Clifford is not alert.,Clifford is alert,0
280,1,Dashawn is not touchy or Clifford is alert. Clifford is not alert.,Clifford is not alert,1
281,2,Neither Boston is not timid nor Archie is beneficent. Boston is timid.,Boston is timid,1
282,2,Neither Boston is not timid nor Archie is beneficent. Boston is timid.,Boston is not timid,0
283,2,Neither Boston is not timid nor Archie is beneficent. Boston is timid.,Archie is beneficent,0
284,2,Neither Boston is not timid nor Archie is beneficent. Boston is timid.,Archie is not beneficent,0
285,1,Ammon is incisive or Skylar is positive. Skylar is positive.,Ammon is incisive,1
286,1,Ammon is incisive or Skylar is positive. Skylar is positive.,Ammon is not incisive,1
287,1,Ammon is incisive or Skylar is positive. Skylar is positive.,Skylar is positive,1
288,1,Ammon is incisive or Skylar is positive. Skylar is positive.,Skylar is not positive,0
289,1,Ottilia is miserable or Chris is not sulky. Ottilia is not miserable.,Ottilia is miserable,0
290,1,Ottilia is miserable or Chris is not sulky. Ottilia is not miserable.,Ottilia is not miserable,1
291,1,Ottilia is miserable or Chris is not sulky. Ottilia is not miserable.,Chris is sulky,0
292,1,Ottilia is miserable or Chris is not sulky. Ottilia is not miserable.,Chris is not sulky,1
293,0,Either Kelby is not artistic or Wyatt is not sullen. Wyatt is not sullen.,Kelby is artistic,1
294,0,Either Kelby is not artistic or Wyatt is not sullen. Wyatt is not sullen.,Kelby is not artistic,0
295,0,Either Kelby is not artistic or Wyatt is not sullen. Wyatt is not sullen.,Wyatt is sullen,0
296,0,Either Kelby is not artistic or Wyatt is not sullen. Wyatt is not sullen.,Wyatt is not sullen,1
297,0,Either Thelma is not polite or Christian is timid. Christian is timid.,Thelma is polite,1
298,0,Either Thelma is not polite or Christian is timid. Christian is timid.,Thelma is not polite,0
299,0,Either Thelma is not polite or Christian is timid. Christian is timid.,Christian is timid,1
300,0,Either Thelma is not polite or Christian is timid. Christian is timid.,Christian is not timid,0
301,1,Lawrence is not resigned or Cathrine is not direct. Cathrine is not direct.,Lawrence is resigned,1
302,1,Lawrence is not resigned or Cathrine is not direct. Cathrine is not direct.,Lawrence is not resigned,1
303,1,Lawrence is not resigned or Cathrine is not direct. Cathrine is not direct.,Cathrine is direct,0
304,1,Lawrence is not resigned or Cathrine is not direct. Cathrine is not direct.,Cathrine is not direct,1
305,1,Marcus is crass or Ronald is not flashy. Ronald is not flashy.,Marcus is crass,1
306,1,Marcus is crass or Ronald is not flashy. Ronald is not flashy.,Marcus is not crass,1
307,1,Marcus is crass or Ronald is not flashy. Ronald is not flashy.,Ronald is flashy,0
